sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
7.0956;-1.6894;10.4441;4.8905;-0.5878;8.4798;0.0045;-2.3026;-0.3454;-1.2139;0.8649;0.9007;-25.14;-5.28;-31.4;112.29;-3.98;-30.96;1003.25;63.399;51.891907;0.257267;145.0;NaN;82.577736;1.25;11.0;22.0;0 / 19;13506;2015-03-03 13:57:19:061
1.0423;-2.5582;11.0749;4.3696;-0.2442;8.7759;-1.9737;-2.3625;0.8957;-0.4459;-0.5845;-0.9963;-21.98;-4.93;-33.45;140.18;1.43;-26.47;1003.25;64.108;51.891907;0.257267;145.0;NaN;82.577736;1.25;11.0;22.0;0 / 19;14006;2015-03-03 13:57:19:561
2.6276;-0.4397;9.6634;5.1195;0.2472;8.3606;-0.746;-0.7;0.4663;0.0593;-0.2289;-0.0692;-21.8;-6.51;-32.26;171.77;-2.21;-33.33;1003.24;67.169;51.891907;0.257267;145.0;NaN;82.6624;1.25;11.0;22.0;0 / 19;14505;2015-03-03 13:57:20:060
2.9942;0.2863;12.4175;3.8689;-0.3969;9.0025;-1.3712;-0.8804;0.5522;1.0655;1.2825;-0.1237;-25.49;-3.88;-31.06;152.99;2.54;-34.66;1003.25;64.789;51.891907;0.257267;145.0;NaN;82.577736;1.25;11.0;22.0;0 / 19;15004;2015-03-03 13:57:20:559
1.0733;1.0076;10.5155;2.578;-0.4879;9.4491;-0.4259;3.5054;1.551;-0.197;0.2753;1.2788;-22.85;-3.01;-34.64;110.99;2.85;-15.26;1003.23;66.812;51.891907;0.257267;145.0;NaN;82.74706;1.25;11.0;22.0;0 / 19;15505;2015-03-03 13:57:21:060
1.7136;-0.9681;10.4536;1.7956;-1.3392;9.5474;1.2617;-2.3988;-0.2397;-1.0397;1.0059;1.7787;-21.8;-1.96;-37.71;103.91;1.7;-12.73;1003.22;71.889;51.891907;0.257267;145.0;NaN;82.83273;1.25;11.0;22.0;0 / 19;16005;2015-03-03 13:57:21:560
1.8588;-2.3702;9.342;2.0294;-1.5404;9.4699;-0.0045;0.5925;-0.3036;-0.0389;-0.2054;-0.176;-20.57;2.77;-38.56;106.74;9.04;-12.1;1003.21;67.278;51.891907;0.257267;145.0;NaN;82.91739;1.25;11.0;22.0;0 / 19;16505;2015-03-03 13:57:22:060
1.9826;-1.4014;10.0609;1.8552;-2.1809;9.3793;0.1506;-0.0705;-0.2499;0.7953;-0.0782;0.0376;-21.45;10.66;-42.14;83.77;12.01;-11.68;1003.22;69.044;51.891907;0.257267;145.0;NaN;82.83273;1.25;11.0;22.0;0 / 19;17005;2015-03-03 13:57:22:560
1.4327;-5.8622;11.0011;1.4527;-1.525;9.5778;-0.2423;0.5105;-0.689;0.1448;-0.0761;-0.0788;-19.51;13.64;-45.72;71.1;12.19;-12.44;1003.22;69.995;51.891907;0.257267;145.0;NaN;82.83273;1.25;11.0;22.0;0 / 19;17505;2015-03-03 13:57:23:060
1.4303;-3.0295;9.1944;1.5201;-1.4711;9.5758;-0.1137;0.4512;-0.3269;0.211;0.0809;-0.9824;-20.04;12.41;-43.85;74.03;9.86;-8.17;1003.22;71.197;51.891907;0.257267;145.0;NaN;82.83273;1.25;11.0;22.0;0 / 19;18009;2015-03-03 13:57:23:564
1.5089;-1.0943;9.2777;1.4983;-0.9626;9.6436;0.2504;-0.1116;-0.0974;0.0369;-0.0035;0.0034;-21.62;10.48;-45.04;68.26;4.71;-8.43;1003.23;69.649;51.891907;0.257267;145.0;NaN;82.74706;1.25;11.0;22.0;0 / 19;18507;2015-03-03 13:57:24:062
1.1494;-1.7632;9.1087;1.6063;-1.1775;9.6023;0.0991;-0.0152;0.0147;0.1779;-0.0996;0.0099;-19.87;12.59;-45.04;59.73;6.9;-9.5;1003.23;71.771;51.891907;0.257267;145.0;NaN;82.74706;1.25;11.0;22.0;0 / 19;19005;2015-03-03 13:57:24:560
1.4375;-1.5537;9.0445;1.4357;-1.8428;9.5243;0.0671;0.1404;-0.2159;-0.291;-0.0526;-0.0094;-17.76;13.29;-46.75;64.38;9.1;-8.86;1003.22;71.983;51.891907;0.257267;145.0;NaN;82.83273;1.25;11.0;22.0;0 / 19;19506;2015-03-03 13:57:25:061
1.566;-1.3871;9.1397;1.4489;-2.1077;9.4672;0.2002;0.3337;0.0094;0.0764;0.0553;0.0387;-19.87;15.74;-46.75;66.75;12.05;-9.08;1003.23;67.702;51.891907;0.257267;145.0;NaN;82.74706;1.25;11.0;22.0;0 / 19;20005;2015-03-03 13:57:25:560
1.3637;0.6957;8.2732;1.5597;-0.7264;9.6545;0.9885;-0.4596;-0.5133;0.179;-0.1819;-0.5402;-18.28;1.2;-38.05;107.96;6.74;-9.37;1003.23;67.486;51.891907;0.257267;145.0;NaN;82.74706;1.25;11.0;22.0;0 / 19;20507;2015-03-03 13:57:26:062
2.3872;1.1956;9.4706;1.686;0.4891;9.6482;0.6667;0.6305;-0.3156;0.0177;-0.1114;-0.6299;-19.51;-8.44;-34.47;122.19;0.15;-11.44;1003.24;67.636;51.891907;0.257267;145.0;NaN;82.6624;1.25;11.0;22.0;0 / 19;21005;2015-03-03 13:57:26:560
1.7374;0.9362;10.0752;1.7489;0.3854;9.6417;-0.2759;0.1307;-0.9842;-0.2323;-0.2395;-0.6759;-12.66;-10.71;-36.69;161.39;-2.71;-14.86;1003.24;66.337;51.891907;0.257267;145.0;NaN;82.6624;1.25;11.0;22.0;0 / 19;21505;2015-03-03 13:57:27:060
